URL,SLOC,NOC,NOM,DIT,RFC,CBO,WMC
https://github.com/shebnik/BingNUOS-Admin,3022,78,330,72,427,15,819
https://github.com/shebnik/poprey_app,3320,99,388,95,548,16,784
https://github.com/shebnik/PersonalFinanceApp,3315,80,331,80,585,18,616
https://github.com/nafishahmeddev/fintracker,2344,45,114,41,167,11,268
https://github.com/robert-muriithi/Game-Flix,5113,287,599,350,870,322,871
https://github.com/fregie/pho,5021,68,753,66,1120,40,1273
https://github.com/RivaanRanawat/flutter_twitter_clone,2242,61,190,53,269,12,379
https://github.com/HypeTeqSoftware/FitnessApp,5908,66,145,61,373,19,320
https://github.com/R8bert/busappschedule,829,14,28,14,42,5,57
https://github.com/AbdQader/flutter_grocery_app,1447,59,135,57,196,17,276
https://github.com/Sameera-Perera/Flutter-TDD-Clean-Architecture-E-Commerce-App,7879,286,460,315,683,306,708
https://github.com/Roaa94/wallet_app_workshop,1390,40,94,37,110,9,142
https://github.com/mohamadayash22/flutter-movie-app,3048,178,372,178,436,54,535
https://github.com/mbcorona/flutter_cars_app,534,12,30,12,38,3,34
https://github.com/aymanattieh77/fashion-app,6440,381,889,377,1179,142,1374
https://github.com/AbdQader/flutter_ecommerce_app,1269,46,106,44,147,9,206
https://github.com/iManYarahmadi/TravelApp,1192,22,42,22,42,3,53
https://github.com/flutter/pinball,11181,390,589,390,657,122,782
https://github.com/AmirBayat0/Flutter-Travel-App,987,21,44,21,47,7,54
https://github.com/tanvir-robin/weather-app,759,31,86,31,185,10,157
https://github.com/MasteerRui/WeatherApp-Flutter,4491,26,71,25,223,12,178
https://github.com/NobodyForNothing/blood-pressure-monitor-fl,12150,189,750,186,1293,64,2050
https://github.com/tusharhow/movie-app,621,8,17,8,21,2,20
https://github.com/SamarthMovaliya/ecommerce_app_flutter_firebase,3691,32,58,32,111,15,152
https://github.com/Saffar-Org/saffar_app,3731,123,235,133,374,66,560
https://github.com/dudecoderr/Electronics_E-Commerce_App_in_flutter,1336,15,32,15,40,5,65
https://github.com/dicky7/ngandika_app,6067,245,616,284,892,152,965
https://github.com/suleymangunes/TradingView-app,516,79,157,65,178,8,222
https://github.com/Re4ch-Jay/Meditation_App,369,8,18,8,23,1,20
https://github.com/darkmoonight/Rain,8957,93,236,92,400,26,897
https://github.com/wwwwww3q/social_app,8954,191,669,177,1277,89,1418
https://github.com/EmirBashiri/Flutter-E-commerce-X,3907,150,193,194,259,82,365
https://github.com/alireza4585/Flutter-Shopping-App,1427,29,64,31,95,13,94
https://github.com/antonkarliner/timer-coffee,10301,202,993,187,1973,298,1999
https://github.com/zaaii/my_comic,1308,94,177,112,192,47,224
https://github.com/Hamad-Anwar/Task-Sync-Pro-V2,2208,58,155,58,281,12,226
https://github.com/nightFuryman/flutter-feed-app,2431,35,106,35,191,16,265
https://github.com/dreautall/waterfly-iii,21883,659,2601,382,4908,263,7666
https://github.com/IsaiasCuvula/quote_generator,2729,153,405,138,462,8,572
https://github.com/dstark5/Openlib,3020,46,106,44,193,11,293
https://github.com/javedahm3d/instagram-clone-using-flutter-and-firebase,1534,38,95,38,126,13,153
https://github.com/Ruslanbek0809/Yummify,2059,49,143,47,259,38,267
https://github.com/adityar224/FlutterMarkdownEditor,728,11,33,8,91,3,105
https://github.com/cem256/manga_clean_arch,1128,115,257,96,268,24,362
https://github.com/Shashank02051997/AgentX-Flutter,361,19,35,18,63,8,63
https://github.com/riccardocescon/clean_chess,11190,436,1228,386,1696,240,1757
https://github.com/kronos-et-al/MensaApp,12285,445,1436,379,2125,443,2795
https://github.com/kaina404/FlutterDouBan,7583,261,860,262,1487,150,1882
https://github.com/simplezhli/flutter_deer,12300,325,984,306,1699,114,2202
https://github.com/iampawan/FlutterWhatsAppClone,244,11,16,11,17,3,21
https://github.com/Predidit/Kazumi,7901,142,488,132,1056,38,1290
https://github.com/canxin121/app_rhyme,13342,190,1518,182,2285,146,2368
https://github.com/Predidit/oneAnime,5663,106,595,133,871,28,1098
https://github.com/kangpeiqin/bilivideo_down,2016,61,173,58,351,12,344
https://github.com/dagmawibabi/ScholArxiv,2109,35,105,34,248,14,277
https://github.com/Ferry-200/coriander_player,7905,213,813,191,1357,70,1643
https://github.com/lyming99/wenznote,39435,494,3101,458,6921,260,8814
https://github.com/JHubi1/ollama-app,5238,20,42,20,409,10,533
https://github.com/mirarr-app/mirarr,10513,60,226,59,608,21,751
https://github.com/KNKPA/KNKPAnime,2806,74,263,68,560,20,526
